sourceid-year-oa,source_id,journal_name,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
16219_2017_hybrid,16219,Lancet,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,53.5,5000,267500
16219_2016_hybrid,16219,Lancet,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,44,5000,220000
4391_2017_hybrid,4391,Cell,Elsevier,2017,hybrid,NATURAL SCIENCES,44,5000,220000
17700_2017_hybrid,17700,Molecular Cell,Elsevier,2017,hybrid,NATURAL SCIENCES,43,5000,215000
4434_2017_hybrid,4434,Cell Systems,Elsevier,2017,hybrid,NATURAL SCIENCES,42,5000,210000
18305_2016_hybrid,18305,Neuron,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,40,5000,200000
544_2018_hybrid,544,Advanced Materials,Wiley,2018,hybrid,NATURAL SCIENCES,39.33333333,5000,196666.6667
17700_2015_hybrid,17700,Molecular Cell,Elsevier,2015,hybrid,NATURAL SCIENCES,35,5000,175000
4391_2015_hybrid,4391,Cell,Elsevier,2015,hybrid,NATURAL SCIENCES,35,5000,175000
18305_2017_hybrid,18305,Neuron,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,33,5000,165000
16226_2017_hybrid,16226,Lancet Infectious Diseases,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,31,5000,155000
23563_2015_hybrid,23563,Structure,Elsevier,2015,hybrid,NATURAL SCIENCES,30,5000,150000
18305_2015_hybrid,18305,Neuron,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,30,5000,150000
16226_2018_hybrid,16226,Lancet Infectious Diseases,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,29,5000,145000
16219_2015_hybrid,16219,Lancet,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,29,5000,145000
6498_2016_hybrid,6498,Developmental Cell,Elsevier,2016,hybrid,NATURAL SCIENCES,29,5000,145000
544_2015_hybrid,544,Advanced Materials,Wiley,2015,hybrid,NATURAL SCIENCES,28.66666667,5000,143333.3333
4434_2016_hybrid,4434,Cell Systems,Elsevier,2016,hybrid,NATURAL SCIENCES,28,5000,140000
1327_2017_hybrid,1327,American Journal of Human Genetics,Elsevier,2017,hybrid,NATURAL SCIENCES,28,5000,140000
1327_2018_hybrid,1327,American Journal of Human Genetics,Elsevier,2018,hybrid,NATURAL SCIENCES,26,5000,130000
544_2017_hybrid,544,Advanced Materials,Wiley,2017,hybrid,NATURAL SCIENCES,25.33333333,5000,126666.6667
16226_2016_hybrid,16226,Lancet Infectious Diseases,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,24,5000,120000
544_2016_hybrid,544,Advanced Materials,Wiley,2016,hybrid,NATURAL SCIENCES,24,5000,120000
8131_2016_hybrid,8131,European Urology,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,23,5000,115000
538_2018_hybrid,538,Advanced Functional Materials,Wiley,2018,hybrid,NATURAL SCIENCES,20.66666667,5000,103333.3333
8131_2018_hybrid,8131,European Urology,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,20,5000,100000
23563_2017_hybrid,23563,Structure,Elsevier,2017,hybrid,NATURAL SCIENCES,20,5000,100000
544_2018_hybrid,544,Advanced Materials,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,19.66666667,5000,98333.33333
6498_2017_hybrid,6498,Developmental Cell,Elsevier,2017,hybrid,NATURAL SCIENCES,19,5000,95000
8131_2017_hybrid,8131,European Urology,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,19,5000,95000
538_2016_hybrid,538,Advanced Functional Materials,Wiley,2016,hybrid,NATURAL SCIENCES,18,5000,90000
23563_2016_hybrid,23563,Structure,Elsevier,2016,hybrid,NATURAL SCIENCES,18,5000,90000
6498_2015_hybrid,6498,Developmental Cell,Elsevier,2015,hybrid,NATURAL SCIENCES,18,5000,90000
10716_2017_hybrid,10716,Immunity,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,17,5000,85000
4406_2017_hybrid,4406,Cell Chemical Biology,Elsevier,2017,hybrid,NATURAL SCIENCES,17,5000,85000
10716_2016_hybrid,10716,Immunity,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,17,5000,85000
538_2017_hybrid,538,Advanced Functional Materials,Wiley,2017,hybrid,NATURAL SCIENCES,16.66666667,5000,83333.33333
10716_2015_hybrid,10716,Immunity,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,16,5000,80000
16229_2018_hybrid,16229,Lancet Psychiatry,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,15,5000,75000
4625_2015_hybrid,4625,Chemistry & Biology,Elsevier,2015,hybrid,NATURAL SCIENCES,15,5000,75000
544_2015_hybrid,544,Advanced Materials,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,14.33333333,5000,71666.66667
16228_2017_hybrid,16228,Lancet Oncology,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,14,5000,70000
16229_2017_hybrid,16229,Lancet Psychiatry,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,14,5000,70000
538_2015_hybrid,538,Advanced Functional Materials,Wiley,2015,hybrid,NATURAL SCIENCES,13.33333333,5000,66666.66667
16229_2015_hybrid,16229,Lancet Psychiatry,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,13,5000,65000
544_2017_hybrid,544,Advanced Materials,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,12.66666667,5000,63333.33333
16220_2018_hybrid,16220,LANCET CHILD & ADOLESCENT HEALTH,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,12,5000,60000
544_2016_hybrid,544,Advanced Materials,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,12,5000,60000
16228_2016_hybrid,16228,Lancet Oncology,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
16227_2018_hybrid,16227,Lancet Neurology,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
16228_2018_hybrid,16228,Lancet Oncology,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
16229_2016_hybrid,16229,Lancet Psychiatry,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,11,5000,55000
22902_2018_hybrid,22902,Small,Wiley,2018,hybrid,NATURAL SCIENCES,10.66666667,5000,53333.33333
538_2018_hybrid,538,Advanced Functional Materials,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,10.33333333,5000,51666.66667
16221_2018_hybrid,16221,LANCET DIABETES & ENDOCRINOLOGY,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,10,5000,50000
4419_2015_hybrid,4419,Cell Host & Microbe,Elsevier,2015,hybrid,NATURAL SCIENCES,9.333333333,5000,46666.66667
4406_2016_hybrid,4406,Cell Chemical Biology,Elsevier,2016,hybrid,NATURAL SCIENCES,9,5000,45000
538_2016_hybrid,538,Advanced Functional Materials,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,9,5000,45000
16221_2015_hybrid,16221,LANCET DIABETES & ENDOCRINOLOGY,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,9,5000,45000
22902_2015_hybrid,22902,Small,Wiley,2015,hybrid,NATURAL SCIENCES,8.666666667,5000,43333.33333
532_2017_hybrid,532,Advanced Energy Materials,Wiley,2017,hybrid,NATURAL SCIENCES,8.4,5000,42000
538_2017_hybrid,538,Advanced Functional Materials,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,8.333333333,5000,41666.66667
4422_2016_hybrid,4422,Cell Metabolism,Elsevier,2016,hybrid,NATURAL SCIENCES,8,5000,40000
16225_2018_hybrid,16225,Lancet HIV,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4561_2017_hybrid,4561,Chem,Elsevier,2017,hybrid,NATURAL SCIENCES,8,5000,40000
16226_2015_hybrid,16226,Lancet Infectious Diseases,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4232_2017_hybrid,4232,Cancer Cell,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4422_2016_hybrid,4422,Cell Metabolism,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,8,5000,40000
4419_2016_hybrid,4419,Cell Host & Microbe,Elsevier,2016,hybrid,NATURAL SCIENCES,8,5000,40000
4232_2017_hybrid,4232,Cancer Cell,Elsevier,2017,hybrid,NATURAL SCIENCES,8,5000,40000
532_2018_hybrid,532,Advanced Energy Materials,Wiley,2018,hybrid,NATURAL SCIENCES,7.8,5000,39000
4419_2017_hybrid,4419,Cell Host & Microbe,Elsevier,2017,hybrid,NATURAL SCIENCES,7.333333333,5000,36666.66667
16227_2016_hybrid,16227,Lancet Neurology,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
16227_2015_hybrid,16227,Lancet Neurology,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
16222_2018_hybrid,16222,LANCET GASTROENTEROLOGY & HEPATOLOGY,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
16228_2015_hybrid,16228,Lancet Oncology,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,7,5000,35000
22902_2016_hybrid,22902,Small,Wiley,2016,hybrid,NATURAL SCIENCES,6.666666667,5000,33333.33333
22902_2017_hybrid,22902,Small,Wiley,2017,hybrid,NATURAL SCIENCES,6.666666667,5000,33333.33333
538_2015_hybrid,538,Advanced Functional Materials,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,6.666666667,5000,33333.33333
4561_2016_hybrid,4561,Chem,Elsevier,2016,hybrid,NATURAL SCIENCES,6,5000,30000
16231_2015_hybrid,16231,Lancet Respiratory Medicine,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
16221_2016_hybrid,16221,LANCET DIABETES & ENDOCRINOLOGY,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
16225_2016_hybrid,16225,Lancet HIV,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
16227_2017_hybrid,16227,Lancet Neurology,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,6,5000,30000
532_2017_hybrid,532,Advanced Energy Materials,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,5.6,5000,28000
4232_2016_hybrid,4232,Cancer Cell,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,5.5,5000,27500
4232_2016_hybrid,4232,Cancer Cell,Elsevier,2016,hybrid,NATURAL SCIENCES,5.5,5000,27500
22902_2018_hybrid,22902,Small,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,5.333333333,5000,26666.66667
532_2018_hybrid,532,Advanced Energy Materials,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,5.2,5000,26000
4430_2016_hybrid,4430,Cell Stem Cell,Elsevier,2016,hybrid,NATURAL SCIENCES,5,5000,25000
4422_2017_hybrid,4422,Cell Metabolism,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
16221_2017_hybrid,16221,LANCET DIABETES & ENDOCRINOLOGY,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
16225_2017_hybrid,16225,Lancet HIV,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
16231_2016_hybrid,16231,Lancet Respiratory Medicine,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
4232_2015_hybrid,4232,Cancer Cell,Elsevier,2015,hybrid,NATURAL SCIENCES,5,5000,25000
4422_2017_hybrid,4422,Cell Metabolism,Elsevier,2017,hybrid,NATURAL SCIENCES,5,5000,25000
4232_2015_hybrid,4232,Cancer Cell,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,5,5000,25000
4430_2016_hybrid,4430,Cell Stem Cell,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,5,5000,25000
532_2016_hybrid,532,Advanced Energy Materials,Wiley,2016,hybrid,NATURAL SCIENCES,4.8,5000,24000
532_2015_hybrid,532,Advanced Energy Materials,Wiley,2015,hybrid,NATURAL SCIENCES,4.8,5000,24000
4419_2015_hybrid,4419,Cell Host & Microbe,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,4.666666667,5000,23333.33333
4430_2017_hybrid,4430,Cell Stem Cell,Elsevier,2017,hybrid,NATURAL SCIENCES,4.5,5000,22500
4430_2017_hybrid,4430,Cell Stem Cell,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,4.5,5000,22500
22902_2015_hybrid,22902,Small,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,4.333333333,5000,21666.66667
16224_2018_hybrid,16224,Lancet Haematology,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,4,5000,20000
16231_2017_hybrid,16231,Lancet Respiratory Medicine,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,4,5000,20000
4419_2016_hybrid,4419,Cell Host & Microbe,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,4,5000,20000
4419_2017_hybrid,4419,Cell Host & Microbe,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,3.666666667,5000,18333.33333
22902_2017_hybrid,22902,Small,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,3.333333333,5000,16666.66667
22902_2016_hybrid,22902,Small,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,3.333333333,5000,16666.66667
532_2015_hybrid,532,Advanced Energy Materials,Wiley,2015,hybrid,ENGINEERING AND TECHNOLOGY,3.2,5000,16000
