sourceid-year-oa,source_id,journal_name,parent_publisher,pub_year,oa_status,oecd_major,n_dois,apc_lower,apc_total
5544_2015_hybrid,5544,Computers & Structures,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2.5,3300,8250
14346_2016_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2.4,3300,7920
14346_2017_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2.4,3300,7920
4363_2018_hybrid,4363,Catalysis Today,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,2.333333333,3300,7700
5223_2017_hybrid,5223,COLLOIDS AND SURFACES B-BIOINTERFACES,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,2.333333333,3300,7700
20824_2016_hybrid,20824,Protein Expression and Purification,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,2.333333333,3300,7700
3319_2016_hybrid,3319,Biomedical Chromatography,Wiley,2016,hybrid,NATURAL SCIENCES,2.25,3300,7425
23138_2017_hybrid,23138,Solid State Nuclear Magnetic Resonance,Elsevier,2017,hybrid,NATURAL SCIENCES,2.25,3300,7425
6320_2018_hybrid,6320,Cytotherapy,Elsevier,2018,hybrid,NATURAL SCIENCES,2.2,3300,7260
2155_2015_hybrid,2155,Aquatic Botany,Elsevier,2015,hybrid,NATURAL SCIENCES,2,3300,6600
3779_2018_hybrid,3779,British Journal of Oral & Maxillofacial Surgery,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
4963_2018_hybrid,4963,Clinical Biomechanics,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
14346_2018_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2018,hybrid,SOCIAL SCIENCES,2,3300,6600
12052_2015_hybrid,12052,International Journal of Plasticity,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
13407_2015_hybrid,13407,Journal of Catalysis,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
14519_2018_hybrid,14519,Journal of Manipulative and Physiological Therapeutics,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
14704_2016_hybrid,14704,Journal of Molecular Recognition,Wiley,2016,hybrid,NATURAL SCIENCES,2,3300,6600
15488_2018_hybrid,15488,Journal of the American College of Radiology,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
15882_2016_hybrid,15882,JOURNAL OF VASCULAR SURGERY-VENOUS AND LYMPHATIC DISORDERS,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
17749_2016_hybrid,17749,Molecular Reproduction and Development,Wiley,2016,hybrid,NATURAL SCIENCES,2,3300,6600
20092_2018_hybrid,20092,Polymer Journal,Springer-Nature,2018,hybrid,NATURAL SCIENCES,2,3300,6600
25173_2017_hybrid,25173,Veterinary Radiology & Ultrasound,Wiley,2017,hybrid,AGRICULTURAL SCIENCES,2,3300,6600
14517_2017_hybrid,14517,Journal of Management Studies,Wiley,2017,hybrid,SOCIAL SCIENCES,2,3300,6600
11811_2016_hybrid,11811,International Journal of Fatigue,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
22568_2016_hybrid,22568,Sedimentary Geology,Elsevier,2016,hybrid,NATURAL SCIENCES,2,3300,6600
13670_2018_hybrid,13670,Journal of Cranio-Maxillofacial Surgery,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
9286_2018_hybrid,9286,Governance-an International Journal of Policy Administration and Institutions,Wiley,2018,hybrid,SOCIAL SCIENCES,2,3300,6600
9860_2017_hybrid,9860,Human Pathology,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
13423_2017_hybrid,13423,Journal of Cereal Science,Elsevier,2017,hybrid,AGRICULTURAL SCIENCES,2,3300,6600
14098_2018_hybrid,14098,Journal of Genetics and Genomics,Elsevier,2018,hybrid,NATURAL SCIENCES,2,3300,6600
15002_2017_hybrid,15002,Journal of Photochemistry and Photobiology B-biology,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
15060_2017_hybrid,15060,Journal of Plastic Reconstructive and Aesthetic Surgery,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
5588_2015_hybrid,5588,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,Wiley,2015,hybrid,NATURAL SCIENCES,2,3300,6600
5898_2016_hybrid,5898,Cretaceous Research,Elsevier,2016,hybrid,NATURAL SCIENCES,2,3300,6600
8267_2015_hybrid,8267,Expert Review of Vaccines,Taylor & Francis,2015,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
8812_2016_hybrid,8812,Fuel Processing Technology,Elsevier,2016,hybrid,NATURAL SCIENCES,2,3300,6600
14098_2017_hybrid,14098,Journal of Genetics and Genomics,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
17749_2018_hybrid,17749,Molecular Reproduction and Development,Wiley,2018,hybrid,NATURAL SCIENCES,2,3300,6600
17926_2017_hybrid,17926,Mutation Research-genetic Toxicology and Environmental Mutagenesis,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
2874_2018_hybrid,2874,Automatica,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
3578_2018_hybrid,3578,Bone Marrow Transplantation,Springer-Nature,2018,hybrid,NATURAL SCIENCES,2,3300,6600
4584_2017_hybrid,4584,Chemical Engineering Research & Design,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
4963_2016_hybrid,4963,Clinical Biomechanics,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
9280_2017_hybrid,9280,Gondwana Research,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
12026_2016_hybrid,12026,International Journal of Paediatric Dentistry,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
15488_2016_hybrid,15488,Journal of the American College of Radiology,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
3361_2018_hybrid,3361,Biophysical Chemistry,Elsevier,2018,hybrid,NATURAL SCIENCES,2,3300,6600
6320_2016_hybrid,6320,Cytotherapy,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
6320_2016_hybrid,6320,Cytotherapy,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
13423_2017_hybrid,13423,Journal of Cereal Science,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
11940_2015_hybrid,11940,International Journal of Mechanical Sciences,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
13490_2016_hybrid,13490,Journal of Clinical Densitometry,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
11637_2017_hybrid,11637,International Journal of Adhesion and Adhesives,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
13407_2015_hybrid,13407,Journal of Catalysis,Elsevier,2015,hybrid,NATURAL SCIENCES,2,3300,6600
14346_2018_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2018,hybrid,NATURAL SCIENCES,2,3300,6600
4457_2015_hybrid,4457,Cement & Concrete Composites,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
3779_2017_hybrid,3779,British Journal of Oral & Maxillofacial Surgery,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
5823_2015_hybrid,5823,Coordination Chemistry Reviews,Elsevier,2015,hybrid,NATURAL SCIENCES,2,3300,6600
7297_2018_hybrid,7297,Emergency Medicine Australasia,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
19835_2018_hybrid,19835,Phytochemistry,Elsevier,2018,hybrid,NATURAL SCIENCES,2,3300,6600
20727_2016_hybrid,20727,Progress in Materials Science,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
22568_2017_hybrid,22568,Sedimentary Geology,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
20092_2015_hybrid,20092,Polymer Journal,Springer-Nature,2015,hybrid,NATURAL SCIENCES,2,3300,6600
21610_2016_hybrid,21610,Review of Palaeobotany and Palynology,Elsevier,2016,hybrid,NATURAL SCIENCES,2,3300,6600
9497_2017_hybrid,9497,Health Services Research,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
11925_2015_hybrid,11925,International Journal of Machine Tools & Manufacture,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
13490_2015_hybrid,13490,Journal of Clinical Densitometry,Elsevier,2015,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
13490_2018_hybrid,13490,Journal of Clinical Densitometry,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
13670_2016_hybrid,13670,Journal of Cranio-Maxillofacial Surgery,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
14326_2017_hybrid,14326,Journal of Inorganic Biochemistry,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
14422_2016_hybrid,14422,Journal of labelled compounds & radiopharmaceuticals,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
17926_2017_hybrid,17926,Mutation Research-genetic Toxicology and Environmental Mutagenesis,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
3361_2015_hybrid,3361,Biophysical Chemistry,Elsevier,2015,hybrid,NATURAL SCIENCES,2,3300,6600
5823_2017_hybrid,5823,Coordination Chemistry Reviews,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
5840_2018_hybrid,5840,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,Wiley,2018,hybrid,SOCIAL SCIENCES,2,3300,6600
8812_2015_hybrid,8812,Fuel Processing Technology,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
7894_2015_hybrid,7894,European Journal of Agronomy,Elsevier,2015,hybrid,AGRICULTURAL SCIENCES,2,3300,6600
22614_2018_hybrid,22614,Seminars in Dialysis,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
24075_2016_hybrid,24075,Synthetic Metals,Elsevier,2016,hybrid,NATURAL SCIENCES,2,3300,6600
4312_2015_hybrid,4312,Cardiovascular Therapeutics,Wiley,2015,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
4457_2018_hybrid,4457,Cement & Concrete Composites,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
4363_2016_hybrid,4363,Catalysis Today,Elsevier,2016,hybrid,NATURAL SCIENCES,2,3300,6600
6320_2017_hybrid,6320,Cytotherapy,Elsevier,2017,hybrid,NATURAL SCIENCES,2,3300,6600
6831_2016_hybrid,6831,Dyes and Pigments,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,2,3300,6600
8160_2018_hybrid,8160,Evolution & Development,Wiley,2018,hybrid,NATURAL SCIENCES,2,3300,6600
8286_2018_hybrid,8286,EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL,Elsevier,2018,hybrid,SOCIAL SCIENCES,2,3300,6600
17926_2017_hybrid,17926,Mutation Research-genetic Toxicology and Environmental Mutagenesis,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,2,3300,6600
8942_2018_hybrid,8942,Gene Therapy,Springer-Nature,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1.75,3300,5775
8942_2018_hybrid,8942,Gene Therapy,Springer-Nature,2018,hybrid,ENGINEERING AND TECHNOLOGY,1.75,3300,5775
65_2016_hybrid,65,Accident Analysis and Prevention,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1.75,3300,5775
14422_2018_hybrid,14422,Journal of labelled compounds & radiopharmaceuticals,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1.666666667,3300,5500
20149_2017_hybrid,20149,Postharvest Biology and Technology,Elsevier,2017,hybrid,AGRICULTURAL SCIENCES,1.666666667,3300,5500
22016_2018_hybrid,22016,Robotics and Autonomous Systems,Elsevier,2018,hybrid,NATURAL SCIENCES,1.666666667,3300,5500
13137_2018_hybrid,13137,Journal of Antibiotics,Springer-Nature,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1.5,3300,4950
6317_2017_hybrid,6317,Cytopathology,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1.5,3300,4950
14633_2016_hybrid,14633,Journal of Membrane Science,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1.5,3300,4950
5544_2016_hybrid,5544,Computers & Structures,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1.5,3300,4950
8811_2018_hybrid,8811,Fuel Cells,Wiley,2018,hybrid,NATURAL SCIENCES,1.5,3300,4950
14633_2016_hybrid,14633,Journal of Membrane Science,Elsevier,2016,hybrid,NATURAL SCIENCES,1.5,3300,4950
23138_2016_hybrid,23138,Solid State Nuclear Magnetic Resonance,Elsevier,2016,hybrid,NATURAL SCIENCES,1.5,3300,4950
6438_2015_hybrid,6438,Desalination,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1.5,3300,4950
6510_2017_hybrid,6510,Developmental Psychobiology,Wiley,2017,hybrid,SOCIAL SCIENCES,1.5,3300,4950
6438_2015_hybrid,6438,Desalination,Elsevier,2015,hybrid,NATURAL SCIENCES,1.5,3300,4950
23138_2015_hybrid,23138,Solid State Nuclear Magnetic Resonance,Elsevier,2015,hybrid,NATURAL SCIENCES,1.5,3300,4950
6317_2017_hybrid,6317,Cytopathology,Wiley,2017,hybrid,NATURAL SCIENCES,1.5,3300,4950
6510_2017_hybrid,6510,Developmental Psychobiology,Wiley,2017,hybrid,NATURAL SCIENCES,1.5,3300,4950
23138_2018_hybrid,23138,Solid State Nuclear Magnetic Resonance,Elsevier,2018,hybrid,NATURAL SCIENCES,1.5,3300,4950
5544_2016_hybrid,5544,Computers & Structures,Elsevier,2016,hybrid,NATURAL SCIENCES,1.5,3300,4950
8811_2018_hybrid,8811,Fuel Cells,Wiley,2018,hybrid,ENGINEERING AND TECHNOLOGY,1.5,3300,4950
6831_2017_hybrid,6831,Dyes and Pigments,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,3300,4400
14422_2017_hybrid,14422,Journal of labelled compounds & radiopharmaceuticals,Wiley,2017,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
17971_2017_hybrid,17971,Nano Today,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,3300,4400
15691_2015_hybrid,15691,Journal of the Mechanics and Physics of Solids,Elsevier,2015,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
4963_2017_hybrid,4963,Clinical Biomechanics,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1.333333333,3300,4400
6831_2018_hybrid,6831,Dyes and Pigments,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,3300,4400
16737_2017_hybrid,16737,Magnetic Resonance in Chemistry,Wiley,2017,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,3300,4400
17971_2015_hybrid,17971,Nano Today,Elsevier,2015,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
16737_2016_hybrid,16737,Magnetic Resonance in Chemistry,Wiley,2016,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
20744_2015_hybrid,20744,Progress in Nuclear Magnetic Resonance Spectroscopy,Elsevier,2015,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
20744_2018_hybrid,20744,Progress in Nuclear Magnetic Resonance Spectroscopy,Elsevier,2018,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
17971_2018_hybrid,17971,Nano Today,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,1.333333333,3300,4400
4363_2015_hybrid,4363,Catalysis Today,Elsevier,2015,hybrid,NATURAL SCIENCES,1.333333333,3300,4400
3319_2018_hybrid,3319,Biomedical Chromatography,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
4426_2016_hybrid,4426,Cell Proliferation,Wiley,2016,hybrid,NATURAL SCIENCES,1,3300,3300
5786_2018_hybrid,5786,Contributions to Plasma Physics,Wiley,2018,hybrid,NATURAL SCIENCES,1,3300,3300
8812_2015_hybrid,8812,Fuel Processing Technology,Elsevier,2015,hybrid,NATURAL SCIENCES,1,3300,3300
11925_2016_hybrid,11925,International Journal of Machine Tools & Manufacture,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
9916_2015_hybrid,9916,Hydrometallurgy,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
11785_2016_hybrid,11785,International Journal of Electrical Power & Energy Systems,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
14952_2017_hybrid,14952,Journal of Pediatric Urology,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
11925_2017_hybrid,11925,International Journal of Machine Tools & Manufacture,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
14519_2017_hybrid,14519,Journal of Manipulative and Physiological Therapeutics,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
11927_2017_hybrid,11927,International Journal of Management Reviews,Wiley,2017,hybrid,SOCIAL SCIENCES,1,3300,3300
13423_2016_hybrid,13423,Journal of Cereal Science,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
14704_2017_hybrid,14704,Journal of Molecular Recognition,Wiley,2017,hybrid,NATURAL SCIENCES,1,3300,3300
15882_2018_hybrid,15882,JOURNAL OF VASCULAR SURGERY-VENOUS AND LYMPHATIC DISORDERS,Elsevier,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
22614_2017_hybrid,22614,Seminars in Dialysis,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
23464_2018_hybrid,23464,Statistical Analysis and Data Mining,Wiley,2018,hybrid,NATURAL SCIENCES,1,3300,3300
12062_2015_hybrid,12062,International Journal of Pressure Vessels and Piping,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
9286_2017_hybrid,9286,Governance-an International Journal of Policy Administration and Institutions,Wiley,2017,hybrid,SOCIAL SCIENCES,1,3300,3300
11886_2018_hybrid,11886,International Journal of Impotence Research,Springer-Nature,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
15003_2015_hybrid,15003,Journal of Photochemistry and Photobiology C-photochemistry Reviews,Elsevier,2015,hybrid,NATURAL SCIENCES,1,3300,3300
6510_2016_hybrid,6510,Developmental Psychobiology,Wiley,2016,hybrid,SOCIAL SCIENCES,1,3300,3300
7549_2016_hybrid,7549,Environmental Impact Assessment Review,Elsevier,2016,hybrid,SOCIAL SCIENCES,1,3300,3300
11637_2015_hybrid,11637,International Journal of Adhesion and Adhesives,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
16470_2018_hybrid,16470,Lethaia,Wiley,2018,hybrid,NATURAL SCIENCES,1,3300,3300
4457_2017_hybrid,4457,Cement & Concrete Composites,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
4963_2016_hybrid,4963,Clinical Biomechanics,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
9280_2018_hybrid,9280,Gondwana Research,Elsevier,2018,hybrid,NATURAL SCIENCES,1,3300,3300
9916_2017_hybrid,9916,Hydrometallurgy,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
12167_2015_hybrid,12167,International Journal of Thermal Sciences,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
12634_2015_hybrid,12634,ISA Transactions,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
6320_2016_hybrid,6320,Cytotherapy,Elsevier,2016,hybrid,NATURAL SCIENCES,1,3300,3300
6422_2017_hybrid,6422,Dental Traumatology,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
12020_2016_hybrid,12020,International Journal of Oral and Maxillofacial Surgery,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
11884_2015_hybrid,11884,International Journal of Impact Engineering,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
3460_2017_hybrid,3460,Blood Cells Molecules and Diseases,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
646_2015_hybrid,646,Advances in Colloid and Interface Science,Elsevier,2015,hybrid,NATURAL SCIENCES,1,3300,3300
3361_2017_hybrid,3361,Biophysical Chemistry,Elsevier,2017,hybrid,NATURAL SCIENCES,1,3300,3300
4363_2016_hybrid,4363,Catalysis Today,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
20761_2018_hybrid,20761,Progress in Polymer Science,Elsevier,2018,hybrid,NATURAL SCIENCES,1,3300,3300
24075_2016_hybrid,24075,Synthetic Metals,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
13423_2016_hybrid,13423,Journal of Cereal Science,Elsevier,2016,hybrid,AGRICULTURAL SCIENCES,1,3300,3300
16470_2017_hybrid,16470,Lethaia,Wiley,2017,hybrid,NATURAL SCIENCES,1,3300,3300
3160_2015_hybrid,3160,Biochemical Engineering Journal,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
3358_2018_hybrid,3358,Biopharmaceutics & Drug Disposition,Wiley,2018,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
6317_2016_hybrid,6317,Cytopathology,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
6510_2016_hybrid,6510,Developmental Psychobiology,Wiley,2016,hybrid,NATURAL SCIENCES,1,3300,3300
6831_2016_hybrid,6831,Dyes and Pigments,Elsevier,2016,hybrid,NATURAL SCIENCES,1,3300,3300
3624_2017_hybrid,3624,Brachytherapy,Elsevier,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
5009_2018_hybrid,5009,Clinical Mass Spectrometry,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
6317_2016_hybrid,6317,Cytopathology,Wiley,2016,hybrid,NATURAL SCIENCES,1,3300,3300
20092_2017_hybrid,20092,Polymer Journal,Springer-Nature,2017,hybrid,NATURAL SCIENCES,1,3300,3300
20709_2016_hybrid,20709,Progress in Energy and Combustion Science,Elsevier,2016,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
25003_2017_hybrid,25003,Urban Climate,Elsevier,2017,hybrid,NATURAL SCIENCES,1,3300,3300
20676_2017_hybrid,20676,Progress in Aerospace Sciences,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
20709_2015_hybrid,20709,Progress in Energy and Combustion Science,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
21610_2018_hybrid,21610,Review of Palaeobotany and Palynology,Elsevier,2018,hybrid,NATURAL SCIENCES,1,3300,3300
20207_2015_hybrid,20207,Precambrian Research,Elsevier,2015,hybrid,NATURAL SCIENCES,1,3300,3300
20676_2015_hybrid,20676,Progress in Aerospace Sciences,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,1,3300,3300
20761_2017_hybrid,20761,Progress in Polymer Science,Elsevier,2017,hybrid,NATURAL SCIENCES,1,3300,3300
1571_2017_hybrid,1571,Andrologia,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
2155_2016_hybrid,2155,Aquatic Botany,Elsevier,2016,hybrid,NATURAL SCIENCES,1,3300,3300
5823_2016_hybrid,5823,Coordination Chemistry Reviews,Elsevier,2016,hybrid,NATURAL SCIENCES,1,3300,3300
8286_2017_hybrid,8286,EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL,Elsevier,2017,hybrid,SOCIAL SCIENCES,1,3300,3300
19723_2017_hybrid,19723,Phycological Research,Wiley,2017,hybrid,NATURAL SCIENCES,1,3300,3300
19835_2017_hybrid,19835,Phytochemistry,Elsevier,2017,hybrid,NATURAL SCIENCES,1,3300,3300
22614_2016_hybrid,22614,Seminars in Dialysis,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,1,3300,3300
20149_2016_gold,20149,Postharvest Biology and Technology,Elsevier,2016,gold,AGRICULTURAL SCIENCES,0.833333333,3300,2750
20149_2016_hybrid,20149,Postharvest Biology and Technology,Elsevier,2016,hybrid,AGRICULTURAL SCIENCES,0.833333333,3300,2750
20149_2015_hybrid,20149,Postharvest Biology and Technology,Elsevier,2015,hybrid,AGRICULTURAL SCIENCES,0.833333333,3300,2750
14346_2017_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2017,hybrid,NATURAL SCIENCES,0.8,3300,2640
14346_2017_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2017,hybrid,SOCIAL SCIENCES,0.8,3300,2640
14346_2016_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2016,hybrid,SOCIAL SCIENCES,0.8,3300,2640
14346_2016_hybrid,14346,Journal of Intellectual Disability Research,Wiley,2016,hybrid,NATURAL SCIENCES,0.8,3300,2640
13137_2018_hybrid,13137,Journal of Antibiotics,Springer-Nature,2018,hybrid,ENGINEERING AND TECHNOLOGY,0.75,3300,2475
13137_2018_hybrid,13137,Journal of Antibiotics,Springer-Nature,2018,hybrid,NATURAL SCIENCES,0.75,3300,2475
3319_2016_hybrid,3319,Biomedical Chromatography,Wiley,2016,hybrid,MEDICAL AND HEALTH SCIENCES,0.75,3300,2475
23138_2017_hybrid,23138,Solid State Nuclear Magnetic Resonance,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,0.75,3300,2475
20744_2018_hybrid,20744,Progress in Nuclear Magnetic Resonance Spectroscopy,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,0.666666667,3300,2200
20149_2018_hybrid,20149,Postharvest Biology and Technology,Elsevier,2018,hybrid,ENGINEERING AND TECHNOLOGY,0.666666667,3300,2200
17971_2018_hybrid,17971,Nano Today,Elsevier,2018,hybrid,NATURAL SCIENCES,0.666666667,3300,2200
4363_2015_hybrid,4363,Catalysis Today,Elsevier,2015,hybrid,ENGINEERING AND TECHNOLOGY,0.666666667,3300,2200
5358_2016_hybrid,5358,Comparative Immunology Microbiology and Infectious Diseases,Elsevier,2016,hybrid,MEDICAL AND HEALTH SCIENCES,0.666666667,3300,2200
6831_2017_hybrid,6831,Dyes and Pigments,Elsevier,2017,hybrid,NATURAL SCIENCES,0.666666667,3300,2200
4963_2017_hybrid,4963,Clinical Biomechanics,Elsevier,2017,hybrid,ENGINEERING AND TECHNOLOGY,0.666666667,3300,2200
17971_2017_hybrid,17971,Nano Today,Elsevier,2017,hybrid,NATURAL SCIENCES,0.666666667,3300,2200
16737_2016_hybrid,16737,Magnetic Resonance in Chemistry,Wiley,2016,hybrid,ENGINEERING AND TECHNOLOGY,0.666666667,3300,2200
14422_2017_hybrid,14422,Journal of labelled compounds & radiopharmaceuticals,Wiley,2017,hybrid,MEDICAL AND HEALTH SCIENCES,0.666666667,3300,2200
